movie_id,title,description
588,Aladdin (1992),"Rose, a desperate mother takes her adopted daughter, Sharon, to the town of Silent Hill in an attempt to cure her of her ailment. After a violent car crash, Sharon disappears and Rose begins a desperate search to get her back. She descends into the center of the twisted reality of a town's terrible secret. Pursued by grotesquely deformed creatures and townspeople stuck in permanent purgatory, Rose begins to uncover the truth behind the apocalyptic disaster that burned the town 30 years earlier."
1907,Mulan (1998),"Twenty-something Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss - excited and intrigued, he sets out to find it."
783,"Hunchback of Notre Dame, The (1996)","In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed."
1836,"Last Days of Disco, The (1998)",Esther's life is panning out nicely. She will soon move in with her boyfriend Vincent and she seems set to get a permanent position at the public relations company where she freelances. All would be fine if Esther didn't accidentally discover a piercing curiosity about her own body.
1022,Cinderella (1950),No description available
2762,"Sixth Sense, The (1999)","Robert Tisdall finds on the beach the corpse of a woman he knew. Others wrongly conclude that he is the murderer. Fleeing, he desperately attempts to prove that he is not the killer. A young woman becomes embroiled in the effort."
150,Apollo 13 (1995),"A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer."
1,Toy Story (1995),No description available
1961,Rain Man (1988),B Movie Legend Bruce Campbell is mistaken for his character Ash from the Evil Dead trilogy and forced to fight a real monster in a small town in Oregon.
1962,Driving Miss Daisy (1989),"A posthumous look at the last days of Guenther's life as he, his best friend, and his sister let loose on a four-day binge of alcohol, drugs, and sex."
2692,Run Lola Run (Lola rennt) (1998),"A documentary on the late American entertainer Dean Reed, who became a huge star in East Germany after settling there in 1973."
260,Star Wars: Episode IV - A New Hope (1977),"Richard Hanney has a rude awakening when a glamorous female spy falls into his bed - with a knife in her back. Having a bit of trouble explaining it all to Scotland Yard, he heads for the hills of Scotland to try to clear his name by locating the spy ring known as The 39 Steps."
1028,Mary Poppins (1964),No description available
1029,Dumbo (1941),No description available
1207,To Kill a Mockingbird (1962),No description available
2028,Saving Private Ryan (1998),"Lloyd, an eternal optimist, seeks to capture the heart of Diane, an unattainable high school beauty and straight-A student. He surprises just about everyone-including himself-when she returns the sentiment. But Diane's over-possessive, divorced Dad disapproves and it's going to take more than just the power of love to conquer all."
531,"Secret Garden, The (1993)","Wallace rents out Gromit's former bedroom to a penguin, who takes up an interest in the techno pants created by Wallace. However, Gromit later learns that the penguin is a wanted criminal."
3114,Toy Story 2 (1999),"As a Civil War veteran spends years searching for a young niece captured by Indians, his motivation becomes increasingly questionable."
608,Fargo (1996),"Kay and Jay reunite to provide our best, last and only line of defense against a sinister seductress who levels the toughest challenge yet to the MIB's untarnished mission statement – protecting Earth from the scum of the universe. It's been four years since the alien-seeking agents averted an intergalactic disaster of epic proportions. Now it's a race against the clock as Jay must convince Kay – who not only has absolutely no memory of his time spent with the MIB, but is also the only living person left with the expertise to save the galaxy – to reunite with the MIB before the earth submits to ultimate destruction."
1246,Dead Poets Society (1989),"His Wife is dead and his Son hates him, but this old man still has fight in him!  When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging Rocky to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger, and thirty years his junior."
1357,Shine (1996),No description available
3068,"Verdict, The (1982)","A scientist obsessed with creating life steals body parts to put together his ""creation."" Released as a feature on video, this was originally shown in two installments on TV as part of the Wide World of Entertainment series."
1537,Shall We Dance? (Shall We Dansu?) (1996),"A rush-hour fender-bender on New York City's crowded FDR Drive, under most circumstances, wouldn't set off a chain reaction that could decimate two people's lives. But on this day, at this time, a minor collision will turn two complete strangers into vicious adversaries. Their means of destroying each other might be different, but their goals, ultimately, will be the same: Each will systematically try to dismantle the other's life in a reckless effort to reclaim something he has lost."
647,Courage Under Fire (1996),"Two years have passed since the final battle with Sephiroth. Though Midgar, city of mako, city of prosperity, has been reduced to ruins, its people slowly but steadily walk the road to reconstruction. However, a mysterious illness called Geostigma torments them. With no cure in sight, it brings death to the afflicted, one after another, robbing the people of their fledgling hope."
2194,"Untouchables, The (1987)","This teenage drama deals with the emotional chaos of a high school graduate at the beginning of a new period of his life. 19-year-old Daniel is frustrated: he wants his great love Luca to be the ""first"" woman in his life, but she seems to be unreachable, so he is still a virgin. During his community service as a male nurse, his boss Anna falls in love with him and they finally have sex. Suddenly Luca is interested in Daniel..."
648,Mission: Impossible (1996),"The story of a gentle-hearted beast in love with a simple and beautiful girl. She is drawn to the repellent but strangely fascinating Beast, who tests her fidelity by giving her a key, telling her that if she doesn't return it to him by a specific time, he will die of grief. She is unable to return the key on time, but it is revealed that the Beast is the genuinely handsome one. A simple tale of tragic love that turns into a surreal vision of death, desire, and beauty."
2268,"Few Good Men, A (1992)","After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny."
2628,Star Wars: Episode I - The Phantom Menace (1999),No description available
1103,Rebel Without a Cause (1955),"In a world ravaged by crime, the entire island of Manhattan has been converted into a walled prison where brutal prisoners roam. After the US president crash-lands inside, war hero Snake Plissken has 24 hours to bring him back."
2916,Total Recall (1990),No description available
3468,"Hustler, The (1961)",No description available
1210,Star Wars: Episode VI - Return of the Jedi (1983),No description available
1792,U.S. Marshalls (1998),"In Martha's Vineyard, Mass., conjoined twins Walt and Bob Tenor make the best of their handicap by being the fastest grill cooks in town. While outgoing Walt hopes to one day become a famous actor, shy Bob prefers to stay out of the spotlight. When a fading Hollywood actress, Cher, decides to get her show ""Honey and the Beaze"" cancelled, she hires Walt -- and his brotherly appendage -- as her costars. But their addition surprisingly achieves the opposite."
1687,"Jackal, The (1997)","The world is shocked by the appearance of three talking chimpanzees, who arrived mysteriously in a spacecraft. Intrigued by their intelligence, humans use them for research - until the apes attempt to escape."
1213,GoodFellas (1990),"Tom Ripley is a calculating young man who believes it's better to be a fake somebody than a real nobody. Opportunity knocks in the form of a wealthy U.S. shipbuilder who hires Tom to travel to Italy to bring back his playboy son, Dickie. Ripley worms his way into the idyllic lives of Dickie and his girlfriend, plunging into a daring scheme of duplicity, lies and murder."
3578,Gladiator (2000),"The engineer MacAllan designs a tunnel, which will join America and Europe together on the seabed.  A group of American billionaires are financing the gigantic project, but the construction of the tunnel is proving to be as tedious as it is dangerous.  MacAllan's worst enemy is the speculator Woolf, who had embezzled the money for the construction and who is attempting to cover up his crime by carrying out acts of sabotage.  Also filmed in 1933 in a French-language version, LE TUNNEL, and remade in 1935 in England as TRANSATLATIC TUNNEL."
2881,Double Jeopardy (1999),No description available
3030,Yojimbo (1961),"After witnessing a man's death in a bizzare accident, Father Pergado goes on a spiritual retreat, where he encounters his alien double bent on world conquest."
1217,Ran (1985),No description available
434,Cliffhanger (1993),"From the youth directed novel of the same name by Greogor Tressnow comes a film by Detlev Buck that is a realistic portrait of life in the section of Berlin called Neukölln. It’s about power and weakness, delinquents and victims, and the difficulties a 15-year-old faces in a poor and criminal environment."
2126,Snake Eyes (1998),
3107,Backdraft (1991),"At the turn of the century, all of the Earth's monsters have been rounded up and kept safely on Monsterland. Chaos erupts when a race of she-aliens known as the Kilaaks unleash the monsters across the world."
3108,"Fisher King, The (1991)",No description available
3035,Mister Roberts (1955),"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome."
1253,"Day the Earth Stood Still, The (1951)","Set in a blighted, inner-city neighbourhood of London, Breaking and Entering examines an affair which unfolds between a successful British landscape architect and Amira, a Bosnian woman – the mother of a troubled teen son – who was widowed by the war in Bosnia and Herzegovina."
1610,"Hunt for Red October, The (1990)","A romantic comedy about a man, a woman and a football team. Based on Nick Hornby's best selling autobiographical novel, Fever Pitch. English teacher Paul Ashworth believes his long standing obsession with Arsenal serves him well. But then he meets Sarah. Their relationship develops in tandem with Arsenal's roller coaster fortunes in the football league, both leading to a nail biting climax."
292,Outbreak (1995),"The American comedian/actor delivers a story about the alternative Hip Hop scene. A small town Ohio mans moves to Brooklyn, New York, to throw an unprecedented block party."
2236,Simon Birch (1998),Music DVD with rare live and TV performances from the period 1963-1975.
3071,Stand and Deliver (1987),"Frankenstein is a 2007 British television film produced by Impossible Pictures for ITV. It was written and directed by Jed Mercurio, adapted from Mary Shelley's original novel to a present-day setting. Dr. Victoria Frankenstein, a female geneticist, accidentally creates a monster while growing her son's clone from stem cells as an organ donor in an effort to prevent his imminent death."
902,Breakfast at Tiffany's (1961),"A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process."
368,Maverick (1994),No description available
1259,Stand by Me (1986),"A veteran high school teacher befriends a younger art teacher, who is having an affair with one of her 15-year-old students. However, her intentions with this new ""friend"" also go well beyond platonic friendship."
3147,"Green Mile, The (1999)",The history of Frankenstein's journey from novel to stage to screen to icon.
1544,"Lost World: Jurassic Park, The (1997)","During her wedding ceremony, Rachel notices Luce in the audience and feels instantly drawn to her. The two women become close friends, and when Rachel learns that Luce is a lesbian, she realizes that despite her happy marriage to Heck, she is falling for Luce. As she questions her sexual orientation, Rachel must decide between her stable relationship with Heck and her exhilarating new romance with Luce."
1293,Gandhi (1982),No description available
1188,Strictly Ballroom (1992),No description available
3255,"League of Their Own, A (1992)",No description available
3256,Patriot Games (1992),No description available
3257,"Bodyguard, The (1992)",No description available
110,Braveheart (1995),"Valentine, a student model in Geneva, struggles with a possessive boyfriend and a troubled family. When she runs over a dog, she discovers that its owner, a retired judge, is illegally wiretapping and eavesdropping on his neighbors' phone calls. Although Valentine is outraged, she develops a strange bond with the judge – and as the two become closer, she finds herself caught in the middle of events that could change her life."
2278,Ronin (1998),No description available
2490,Payback (1999),No description available
1834,"Spanish Prisoner, The (1997)","After being hired to find an ex-con's former girlfriend, Philip Marlowe is drawn into a deeply complex web of mystery and deceit."
3471,Close Encounters of the Third Kind (1977),"Two Foreign Legion soldiers, Jean (Dennis O'Keefe) and Andre (Jean Pierre Aumont), accidentally discover the famed lost continent of Atlantis. Bewitched by the sultry, beauty of the Queen of Atlantis (Maria Montez) the two men vie for her affections; little realising that her previous lovers have been embalmed into statues that line the passages of her kingdom."
589,Terminator 2: Judgment Day (1991),No description available
1690,Alien: Resurrection (1997),"Three backpackers head to a Slovakian city that promises to meet their hedonistic expectations, with no idea of the hell that awaits them."
3654,"Guns of Navarone, The (1961)",No description available
2852,"Soldier's Story, A (1984)",
1945,On the Waterfront (1954),"In a remote woodland cabin, a small town doctor discovers Nell — a beautiful young hermit woman with many secrets."
982,Picnic (1955),"Near the end of the Korean War, a platoon of U.S. soldiers is captured by communists and brainwashed. Following the war, the platoon is returned home, and Sergeant Raymond Shaw is lauded as a hero by the rest of his platoon. However, the platoon commander, Captain Bennett Marco, finds himself plagued by strange nightmares and soon races to uncover a terrible plot."
1873,"Misérables, Les (1998)",Dr. Laura Bowman is a young widow who's unwittingly drawn into political turmoil while vacationing in Burma in the late 1980s. Bowman initially left San Francisco with her sister in an attempt to escape painful memories of her husband and son's violent deaths. But her fight to escape to Thailand could prove just as harrowing.
2858,American Beauty (1999),
1225,Amadeus (1984),No description available
515,"Remains of the Day, The (1993)",No description available
442,Demolition Man (1993),"Matti and Niila, growing up in the mid-sixties in the harsh and conservative environment of a Finnish-speaking part of Tornedalen in Swedish Laponia, close to the Finnish border. Their big dream is to become rock stars. In the present the now grown-up Matti feels guilt for the death of his drug-addicted rock star friend Niila."
2312,Children of a Lesser God (1986),"A man named Farmer sets out to rescue his kidnapped wife and avenge the death of his son – two acts committed by the Krugs, a race of animal-warriors who are controlled by the evil Gallian."
265,Like Water for Chocolate (Como agua para chocolate) (1992),"The story of a German singer named Willie who while working in Switzerland falls in love with a Jewish composer named Robert whose family is helping people to flee from the Nazis. Robert’s family is skeptical of Willie, thinking she could be a Nazi as she becomes famous for singing the song “Lili Marleen”."
1408,"Last of the Mohicans, The (1992)","Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids."
1084,Bonnie and Clyde (1967),No description available
3699,Starman (1984),"A maniac on the loose is committing savage acts of slaughter, and one survivor may be the only key to unmasking the serial slayer known as the Half-Moon Killer. The mysterious half-moon lockets he leaves with his victims could be the only key to unraveling his sinister motives, but will that be enough before he completes his ice-cold plot to claim his intended seven victims?"
480,Jurassic Park (1993),"As the romantic monsoon rains loom, the extended Verma family reunites from around the globe for a last-minute arranged marriage in New Delhi. This film traces five intersecting stories, each navigating different aspects of love as they cross boundaries of class, continent and morality."
1442,Prefontaine (1997),"The film describes the microcosmos of the small village Wacken and shows the clash of the cultures, before and during the biggest heavy metal festival in Europe."
2067,Doctor Zhivago (1965),"When contact is lost with the crew of the first Mars expedition, a rescue mission is launched to discover their fate."
1265,Groundhog Day (1993),"Jesse Aarons trained all summer to become the fastest runner in school. So he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences including that she's rich, he's poor, she's a city girl, and he's a country boy the two become fast friends. Together they create Terabithia, a land of monsters, trolls, ogres, and giants where they rule as king and queen."
1370,Die Hard 2 (1990),"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured."
1801,"Man in the Iron Mask, The (1998)",No description available
1372,Star Trek VI: The Undiscovered Country (1991),"An ex-mercenary turned smuggler. A Mende fisherman. Amid the explosive civil war overtaking 1999 Sierra Leone, these men join for two desperate missions: recovering a rare pink diamond of immense value and rescuing the fisherman's son, conscripted as a child soldier into the brutal rebel forces ripping a swath of torture and bloodshed countrywide."
2353,Enemy of the State (1998),No description available
3334,Key Largo (1948),No description available
2427,"Thin Red Line, The (1998)",No description available
590,Dances with Wolves (1990),"""The Hours"" is the story of three women searching for more potent, meaningful lives. Each is alive at a different time and place, all are linked by their yearnings and their fears. Their stories intertwine, and finally come together in a surprising, transcendent moment of shared recognition."
1196,Star Wars: Episode V - The Empire Strikes Back (1980),No description available
1552,Con Air (1997),"The story of the Buckman family and friends, attempting to bring up their children. They suffer/enjoy all the events that occur: estranged relatives, the 'black sheep' of the family, the eccentrics, the skeletons in the closet, and the rebellious teenagers."
736,Twister (1996),No description available
1198,Raiders of the Lost Ark (1981),No description available
593,"Silence of the Lambs, The (1991)",A psychologist is sent to a space station orbiting a planet called Solaris to investigate the death of a doctor and the mental problems of cosmonauts on the station. He soon discovers that the water on the planet is a type of brain which brings out repressed memories and obsessions.
2359,Waking Ned Devine (1998),"A documentary about the corrupt health care system in The United States who's main goal is to make profit even if it means losing people’s lives. ""The more people you deny health insurance the more money we make"" is the business model for health care providers in America."
95,Broken Arrow (1996),"When an asteroid threatens to collide with Earth, NASA honcho Dan Truman determines the only way to stop it is to drill into its surface and detonate a nuclear bomb. This leads him to renowned driller Harry Stamper, who agrees to helm the dangerous space mission provided he can bring along his own hotshot crew. Among them is the cocksure A.J. who Harry thinks isn't good enough for his daughter, until the mission proves otherwise."
2717,Ghostbusters II (1989),No description available
2571,"Matrix, The (1999)",No description available
1917,Armageddon (1998),"Isabelle, a beautiful nursing student, is starting her internship at a prestigious hospital. She meets Dr. Philip there, feels atracted to him from the beggining and starts suffering from strange fainting; so he calls her Bambi: her legs don't support her. Patients mysteriously start to dissappear from their rooms; so Bambi and Dr. Philip start a cat vs. mouse paranoid game, in order to catch the probable killer."
2396,Shakespeare in Love (1998),No description available
3735,Serpico (1973),No description available
1953,"French Connection, The (1971)",No description available
1597,Conspiracy Theory (1997),"Greg Focker is ready to marry his girlfriend, Pam, but before he pops the question, he must win over her formidable father, humorless former CIA agent Jack Byrnes, at the wedding of Pam's sister. As Greg bends over backward to make a good impression, his visit to the Byrnes home turns into a hilarious series of disasters, and everything that can go wrong does, all under Jack's critical, hawklike gaze."
3809,What About Bob? (1991),No description available
1954,Rocky (1976),"A young man struggles to access sublimated childhood memories. He finds a technique that allows him to travel back into the past, to occupy his childhood body and change history. However, he soon finds that every change he makes has unexpected consequences."
1955,Kramer Vs. Kramer (1979),"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London."
235,Ed Wood (1994),"After learning that a boy their age has been accidentally killed near their rural homes, four Oregon boys decide to go see the body. On the way, Gordie,  Vern, Chris and Teddy encounter a mean junk man and a marsh full of leeches, as they also learn more about one another and their very different home lives. Just a lark at first, the boys' adventure evolves into a defining event in their lives."
1124,On Golden Pond (1981),"A mysterious story of two magicians whose intense rivalry leads them on a life-long battle for supremacy -- full of obsession, deceit and jealousy with dangerous and deadly consequences."
1957,Chariots of Fire (1981),"Working-class waitress Slim thought she was entering a life of domestic bliss when she married Mitch, the man of her dreams. After the arrival of their first child, her picture perfect life is shattered when she discovers Mitch's hidden possessive dark side, a controlling and abusive alter ego that can turn trust, love and tranquility into terror. Terrified for her child's safety, Slim flees with her daughter. Relentless in his pursuit and enlisting the aid of lethal henchmen, Mitch continually stalks the prey that was once his family."
163,Desperado (1995),"Danny Ocean reunites with his old flame and the rest of his merry band of thieves in carrying out three huge heists in Rome, Paris and Amsterdam – but a Europol agent is hot on their heels."
21,Get Shorty (1995),"Bruce Brown's The Endless Summer is one of the first and most influential surf movies of all time. The film documents American surfers Mike Hynson and Robert August as they travel the world during California’s winter (which, back in 1965 was off-season for surfing) in search of the perfect wave and ultimately, an endless summer."
165,Die Hard: With a Vengeance (1995),"Marty and Doc are at it again in this wacky sequel to the 1985 blockbuster as the time-traveling duo head to 2015 to nip some McFly family woes in the bud. But things go awry thanks to bully Biff Tannen and a pesky sports almanac. In a last-ditch attempt to set things straight, Marty finds himself bound for 1955 and face to face with his teenage parents -- again."
1090,Platoon (1986),"In Los Angeles, a wealthy man, known as Mr. Fuller, discovers a shocking secret about the world he lives in. Fearing for his life, he leaves a desperate message for a friend of his in the most unexpected place."
380,True Lies (1994),"When car dealer Charlie Babbitt learns that his estranged father has died, he returns home to Cincinnati, where he discovers that he has a savant older brother named Raymond and that his father's $3 million fortune is being left to the mental institution in which Raymond lives. Motivated by his father's money, Charlie checks Raymond out of the facility in order to return with him to Los Angeles. The brothers' cross-country trip ends up changing both their lives."
2501,October Sky (1999),"Wounded to the brink of death and suffering from amnesia, Jason Bourne is rescued at sea by a fisherman. With nothing to go on but a Swiss bank account number, he starts to reconstruct his life, but finds that many people he encounters want him dead. However, Bourne realizes that he has the combat and mental skills of a world-class spy—but who does he work for?"
349,Clear and Present Danger (1994),Crustacés et coquillages is a fresh French comedy film with numerous surprise turnarounds and about the tolerance of a family of four. The family spend an idealistic summer vacation together where each of the family members gets involved in a new or old relationship.
457,"Fugitive, The (1993)","The young Bavarian princess Elisabeth, who all call Sissi, goes with her mother and older sister Néné to Austria where Néné will be wed to an emperor named Franz Joseph, Yet unexpectedly Franz runs into Sissi while out fishing and they fall in love."
1096,Sophie's Choice (1982),No description available
920,Gone with the Wind (1939),"Lightning McQueen, a hotshot rookie race car driven to succeed, discovers that life is about the journey, not the finish line, when he finds himself unexpectedly detoured in the sleepy Route 66 town of Radiator Springs. On route across the country to the big Piston Cup Championship in California to compete against two seasoned pros, McQueen gets to know the town's offbeat characters."
459,"Getaway, The (1994)",After a wonderful time in Hungary Sissi falls extremely ill and must retreat to a Mediterranean climate to rest. The young empress’ mother takes her from Austria to recover in Madeira.
1527,"Fifth Element, The (1997)",No description available
3418,Thelma & Louise (1991),"In a future world where the disease has been finally defeated and everything can be sold, even the crude spectacle of death, the rare case of a dying woman becomes the morbid theme of a revolutionary reality show, broadcast through the curious eyes of a peculiar camera."
1385,Under Siege (1992),No description available
3451,Guess Who's Coming to Dinner (1967),No description available
3095,"Grapes of Wrath, The (1940)","Jessie Wallace stars in this BBC drama based on the turbulent life and times of Marie Lloyd, known as the 'Queen of the Music Hall', who was famous at the turn of the 20th century not just for her performances on stage but also for her riotous behaviour off it. Lloyd's love life and outrageous conduct made her a target for the rising tabloid newspapers of the time. The film includes some of Lloyd's most famous songs, including 'My Old Man Said Follow the Van' and her theme song 'A Little of What You Fancy Does You Good'."
780,Independence Day (ID4) (1996),"A classic of the silent age, this film tells the story of the doomed but ultimately canonized 15th-century teenage warrior. On trial for claiming she'd spoken to God, Jeanne d'Arc is subjected to inhumane treatment and scare tactics at the hands of church court officials. Initially bullied into changing her story, Jeanne eventually opts for what she sees as the truth. Her punishment, a famously brutal execution, earns her perpetual martyrdom."
498,Mr. Jones (1993),No description available
2728,Spartacus (1960),"The story begins with a regular Joe who tries desperately to seek employment, but embarks on a violent rampage when he teams up with cult leader Uncle Dave. Their first act is to heist an amusement park, only to learn that the Taliban are planning the same heist as well. Chaos ensues, and now the Postal Dude must not only take on terrorists but also political figures."
2002,Lethal Weapon 3 (1992),"Secrets, rumors and betrayals surround the upcoming marriage between a young dissolute man and virtuous woman of the French aristocracy."
1784,As Good As It Gets (1997),No description available
2943,Indochine (1992),No description available
2006,"Mask of Zorro, The (1998)","A modern-day witch likes her neighbor but despises his fiancée, so she enchants him to love her instead... only to fall in love with him for real."
318,"Shawshank Redemption, The (1994)",A federal agent searches for a potential killer among the bizarre residents of a dilapidated Los Angeles hotel.
1968,"Breakfast Club, The (1985)","After a one night stand with Alex, Isabel realizes that she is pregnant and they decide to get married. However, along with the marriage comes compromise of one's own cultural traditions."
3678,"Man with the Golden Arm, The (1955)",No description available
1244,Manhattan (1979),"Achim Bornhak's movie focuses on the restless life of Uschi Obermaier, the icon of the 1968 movement in Germany and groupie. At the age of 16, Uschi is bored by her job in a photo lab, but soon becomes the ""it girl"" of Munich's club scene. When she gets to know Rainer Langhans, they move to Berlin and live in ""Kommune 1"", the first politically-motivated commune in Germany. While the other occupants claim she isn't political enough, Uschi just wants to have fun, works as fashion model and leads international music stars in temptation."
356,Forrest Gump (1994),No description available
1245,Miller's Crossing (1990),A rule bound head butler's world of manners and decorum in the household he maintains is tested by the arrival of a housekeeper who falls in love with him in post-WWI Britain. The possibility of romance and his master's cultivation of ties with the Nazi cause challenge his carefully maintained veneer of servitude.
3893,Nurse Betty (2000),No description available
1247,"Graduate, The (1967)","Edward Wilson, the only witness to his father's suicide and member of the Skull and Bones Society while a student at Yale, is a morally upright young man who values honor and discretion, qualities that help him to be recruited for a career in the newly founded OSS. His dedication to his work does not come without a price though, leading him to sacrifice his ideals and eventually his family."
3421,Animal House (1978),"An aging soccer player has a part-time girlfriend, a young fan, and doubts about throwing a game."
